title,content
UdAjXZ90F2RBsrA9BrW5Xp8tZkj3ppoFps1qGUIcd17vadzZNp6l5bZ7VXihU3xz,Clyde McPhatter
vYCNhVuBjfEyM0SfEtbOVpc3xbO3mRjrgEcJ2cet6YnWKO6uLqN5PtwyegOSm9PW,Edward Geoffrey Stanley
oaXIYGyOt4QAX9a6wcyYB5Zdg73xhfacYMOe9xFMbdxb64nus6i9p2rAnWV6g2nW,Chris De Burgh
2vgVHddZmBnkyKbWB06NGPEAEibQQB01VVphULqg6eD7t3hQ0zefxPGaLPHro0Qa,Andrew Jackson
pav72poiaO8eil4FiASbifaIj9dZgYlH78bbrZLXI1UphUto48qOjlVJ3Km1dPUO,John Adams
pbvt1Xd0ocRfzBxvuAXr8Qdn2TmjnxF51WFkXQqZqXHbq5ckQEm6v7ZTvXjfMXss,Robert Smith
tN2kxHiNNhG3at79jm79Jc9RtcvxKvjdgiaBjGiaUIOnsiheTFNFg0BEgQMU85Vd,Herbert Hoover
AyHcmEdlb81jnIrlgviBF4HJZlRepV7tddCtKoV74I6dQq9071kf2u0m8BVMM9rf,Spencer Compton
p2IreSO3JR1gBqeiC8ANf7LGnvUS0QKq71t7RkbacnGZqDLRYU47sqGWKGFLTo3J,Tony Williams
sZy7RgyStK8h2bqBa5RW6dAW0zplJciiSJgSiTCAla1LZDCRrG93dKfD5IAtfG6J,Emily Mortimer
6Fv86V88hPELkenSIvqCcsiBfO0U8UBpt0pCxPEnLi7HUW3GdvjLY84pXBAjL14j,Teddy Wilson
93TMoF3ZxpdzTvpiJjRE1DsniDwvG1L69sTeWXaYAuAGtabkenztZoQ7s4yCuI3Z,Bonar Law
fKGScJDWoq21gyoZiiw3jy9RwrpAzm8ySYx5LgJ4n8BJuVT4rhFsSXgySwsQVR2n,Charles Watson Wentworth
erIf7Mnoj8jiEiXFo67Z5hzxdiHRvakSOiocHOqlB1SsVXFPveToLaBRT8XcbnhQ,Bennie Moten
iLx3tKtMEF6lncGWgGs9QRL88Fl7bwMS7YRCOr6Y40GUu8c2Lf9QpaSsPKbQdfae,Erica Cerra
q3GZB3hjWq1IB8aH6nQooQqTl1kbqnXy25KQCc7BA4nxyWnVrJi5BAN4ochlOgy0,John Adams
BQMzXXO17SNcHXOwSy7lP8KiNpRaT0lAoZE6QUClipj3cSaz1Wgdt6PqlFNMRZiU,Chris Tucker
dBmOW5xtemVMcjluLVeErJNZH7CLMfFll5rQ4iDYAAQcF4Mq0j0F6sRlaIWFnI3l,Rutherford B. Hayes
P2xjOmZFngpwI3o8xCXi7NrtW0BqmczgO1tZvRx9geo4mnaDmdItDLrea9DuyTez,Vanessa Williams
rEQHjhnuIfBBW4sxmjFLI3B7vkhD3eqIVFINvp4zflPlFGtkanbYWqTfkzaUAzpN,Tim Allen
bljxUIMNWmuOvA7qglNDOYTyiyKg1nbOoSzBiTmZMnckG5tfHcAl5jyeaCLtCR2Z,Whoopi Goldberg
66N198tFvuRyVkZEp5G5hxke1qwd0PPnTZp547dL1Th0lPnSaUw35xYzXEgrMVjc,Anna Belknap
TXOSjO9kXTWN3szJ9IZqmDYvWGPZnZzSA9kzBZERRJOLDQYa2DNuGrjWn9sNg5p9,John Quincy Adams
QMSZdhMSXzXnVdnCWzq8tBBoHJxPRNXyTh3TeFH2ErJAg9vk7ebFC59CIYku1qaQ,William Cavendish
GlFme9vJe31ymhAXYNo9Kv1ikI177eZlCiXU3KNrFkwBAIGJ1FeXtmo7KXhZ0hDA,John Coltrane
9fHKYj6WaOGUMdDi5VQuosfp0VueiZUAhjFtZD5mZk5nAWLKbjxKFkxFLjDOha2E,George W. Bush
kiyRPvlbnzlJJ18v9WL1hRSMntn3V99yNuODrmujeHeP2Bmi3RUoGW9qje7Q8kTW,Frederick John Robinson
d2I5R31egIxBlhihQ71MaC8D1mw2oNg8uMxMHXz2Jo2gWNcIU7H6F5MRRmgC4EJA,Suzanne Clément
O0oobPGl4dKTEtY7hGnx22fnWWRUz4a1cBfY1di9L2rmt36JIaljlL0YVhtVTndt,Ulysses S. Grant
8hHbu8n0rLLf744biWxKHPo219guXoVAW9en6jmGIg0gsrSwKFP9rkmQiTNCRGQG,Carrie Fisher
ugTKrbcqKgLFJWqBw3Q7iYcGYSecSTJjinMV9ps8jExIfeblOudA98YOAVlqVhAK,Christian Bale
wJ1nFAYMkM55uyyEGax6G1ejfJCCwgKCeahwPpVwSE7JCq9fAocvqK02uX47DwIt,Hugo Weaving
HcWaPKrawlHTz6rC7ShjguLZEj4hvrHPMkci96B9INmZr2wodRk2TrkBjozEvr05,Billie Holiday
dMv6KtjoEyclPwTnghDrZ9wK4EfA7213XoS4p7oHCFCviq9QVzYeILC64pTzUpd5,Dizzy Gillespie
AE34kEglxJfDxsEKlsNZfkECqB97KcblAlR5F5N8EPX169qchVap8piraC2a1gyt,James Monroe
Bzl3UptTXjvfnokqLLF53IdbFVoKJX2zylwvjfktqWH9LVCW7UjG1KWGkKugJpuT,Ben E. King
9raDOw2qnJBpaPbLepEuC6Pdf1v1NfkX400vqgzasqDVTBkE4vNQNcj7TA4ELAAn,Robert Peel
43AeF9HZdonLgSslwa7QgIYsWzsB7CNZFPR2SFqOPWwWoOxI9xWESsiqNvH1OQo8,Andrew Johnson
hFRig2k5spwcEOObxpEXPpG6NJwKhT37CnitJJf94WcyOBW4ik9UhiMaVwlO9jAz,Sarah Vaughan
6F1xq2aEHTHOaf034HHlf4FStuq5X034cTckpyfmm7cWKDxirgXFyE71XGYqHvMz,Zachary Taylor
43lhMzk5lPBWKbR3Z4KF6R8crIiDPGwe2EIlUbMTml3xjDF1yne6L7kCNRYV40jl,Frank Langella
hYYZhxJPluhA3b2PIQA4CybHPdSSNJU3L2d0CdHteOrQAxXtQet9O8rZHRjpXKbs,Wynton Marsalis
L9pQC3JaFTYdXsiWpWFTfmZo5wjMx1pc0l8gSRPA2PCXAD5oZjoxXEcDsVXPMNvS,Donald J. Trump
SXBi6klanO8PWaKC67wNmssQDlaSSnFRxRr7r3reztl0cfLJ2VIq4kzdb08CW9LW,Martin Van Buren
WC2QU9qI46VmemMWMjjXIFModi2w5Ojo0kGdoT3z92JaCgMPKJJ23JTtIqLDcwaR,Andrew Jackson
Z8f89xVLVpzGQlYMdIJWvShlWGylaYNMHOgU7y6J0TdGoIdiFi2Jy5xBnTCWYNKX,Keri Russell
KyEwEia7jltN76aNKzdNDcyQ6kla81Q8kreJtqA4YaQhCcgLesNPE134RcS2a2Tv,Biddy Hodson
ir5eGfA2fP2HTY4NuQda3Kgo3lMRHZigPCcYdCi0p4fraB4mF6XZbmCOSMKxLxVt,Elizabeth Taylor
h61UUOXcT6Cx38H5sc34nvJzR6UbfUco9iX5OVh2XYfpk1LNtSaVYwCnmpKgxISk,Jimmy Smith
Uu0BGnsrRBucWZlsVwbz5C4AcLePBZA9i2tTEQ5UbKP5YJgrDYlgVgxDLzCnlkym,Geddy Lee
eAbUvVUjWx54zplWHU6lXR2CvZQ4iC5dJrt9TsnJNVjsKRKS8Gw5McKvQOy6oDFd,Sandra Oh
KcLIggLXJNSPtsH67YlX23YEytTjRJszIvpY7sO98W9SoSWo5P1zlYr2KplgKRP6,Helen Mirren
5Jn5wziEE9lYQBnv3QVu9xaYFZxr65R1lJnStSlozyvis2Y8XURNmm3su4C1r2cQ,Charles Mingus
09uZXFgLzqYRdSyXNKbPY58jB4Q1KQFQOllsnsePNOL6CRoxiucjaoJhcmc6b66Z,Andrew Johnson
4T2GKTzZ7q0ikYlgiaVwPITSQvgWswIqFpOzJrsIJrELcoqgLUtUqJZcsA7rxcqV,Frederick John Robinson
4dBDeGHR0FPZhtv5iPuJuSdvh0oFDDkzlnRc4gk6fLLDVWiV3PVTRTYl9PHE8cBw,Bette Davis
w6QDo40IzGU7vCkp5Ie4Zi1g4LAKmpPTIu3PF97LWon4kwqgKsqw0kM4H4vbJZFk,Ian Anderson
RQr7UraJicfQtG3jX1phnc3ZkUZsJqbAE6f0RhWzhX0IB43srbZy4x3srz6u1lNs,Meade Lux Lewis
EK7B6kFVwur6TtWnpqqT2jD7ZflpOE6RMpe7Nmy9ZIlImsBpVYP7SarxtPFzYXvY,Donald J. Trump
0PpelF2ONLZsYsFuPkH5cKCuqyGunuoMURC3xvDCIYu1e47QZYk8zasUgoDrjlgQ,William Lamb
d3rW2EzeRsqPgEmIfwOephdWje5Kydmt2H7DMOfMdaVkUtImwqrs4eEBcqV9SQFm,Charles Watson Wentworth
yYFCKB8AHze9Xurjq0YjhUbj8815JsDhOnjlA5GXxEuBiKzCGDcqMrQyrMvjOTUA,Todd Rundgren
QEfvWuD7xo4z6HKkO6UVhzeooVPHpoNcyRR7k1i5BnPcjkFTJShXQnZFd439RulW,Henry John Temple
hRccNnBS9DO3vHuLqdBYpCQqFCJfD1v9hsTvy3LWXeU3alyVJ6nXJGtbIvNQtwrM,William J. Clinton
ouB3k98C8xqCab2cDQhqFP5cEiCeFvSTc3VBCbpGKgsB94ynhi3xRaznw19wxajs,Jimmy Smith
ydL0uJBwlHTgxmKyVwZvFfRjhKJfd7YZsDC34hP2Z8gyGOUGuZO2XFEGUaIbwVKD,Dwight D. Eisenhower
NdVCN9EYkYVUolPKdZoU6DdXsfJsxTVL5SR1cpwPm6DrDYXSXoyJZ5AZdXuxKz3D,Jimmy Giuffre
EArsqELuzxwoUZQkqukUyiufIUpr4WMUvBaVNVrCssS8izvzeUkc5OA2XhvClUUU,Sidney Bechet
Akj7LxYzFCNHlgcOlig7x5YxI23E2pMOco1nJFHsm6nzL4G4t9kmatjxzHEbEp0c,James Buchanan
777YPZVp0B3ZqSok7pJf0dCzAUxOYIPYKNlBgiw0IlVj5IoKlxgX6bBK7XP7XrlJ,Andrew Johnson
bqiw5laHxGsVeI6aoYSKO6HuO92gjeq61h3ptpmrsr2TtAEKQpcG2UShVZ28I9Vg,Will Ferrell
y1CjRLlvTUn6JooW5nxLgD89CK0b1cBwlSEzRkVED3WGYwf9QLpMUW4uhbkkqmIY,Anthony Braxton
Pu9qf7D7hmr44Ryxn0xryeIBMZ70i6m9mHuXUgI5Ew30wxMQQh4Ja8FcRvYy6Qmf,James McAvoy
sb7rbZrpPOmJVRAeUSqZoWZN8fkkiKaqoK3tYtrPIvMl6FAELM8McFjhq4SwZM1t,Charles Watson Wentworth
Qi0t5Br9eKt7e2ZParSRKG3uYIMHHxZJZKHTrBNxwg2JB7HxXouKnZByXaEFCT8W,Steve Carell
pFtnqX4ovdiChmc1tepICftgIMZunNfzoTHAHsYr4DegpFdWJ9faO33siO7LCEZu,James Monroe
Db15ASNy9Zg3R1skhIVhrKPq52ZNkDDgc2rgTYKQPETsvzeYO3H7vy0Lxc6ColZH,Ron Carter
WvysPoFePU3bzVgRobSEPOem0sWPsHnO0BAVPBoE3N0ORytkHEaBbJwiYMb5pnJf,Frederick North
coVDG2G0wsoggZ4YkQtbB7LDElhp1jW8cdT6ES6VmfT3EzDhEmVBUvQX4BldewYb,William Pitt, the Elder
bAfFBBtHlvsdtKXNaxFgcSzGaELGCndh4Go6xZ6KInITRXUduurwPaHDJKE7MEdR,George Hamilton-Gordon
lSLFfhsYh21xFBwdklvDiWAI9mGx3w7z5hgYIPlNuvjOZ5RPzXjZ0I53RDH5OcX0,Gerald R. Ford
nAp89RjuXi8BMFym6QLC3IE89WiOTvgtfPbHNtVKVkqh3ttxl5qnxOljUyuGvTPq,Henry Campbell-Bannerman
iEgyQls7zHF68ymbyJmJvNPbFBKZiOfFrgrEnS27Vgd7iKcapXOAJ0XoOkYb5uj9,James Taylor
r3HWRlVFyUVDVwW0PnfWz4uOSj2x3WAPcIoUtmPlqrcseOucoQUTjZ3Ercs40WAA,Cecil Taylor
fZLN0Q3QMiooTR08yYn5MmR4hSdQpERnAfx8Jr1vc1RuG9vcQVgMnxEKSW6HyeKY,Brandon Boyd
9XE5WS2cMFbrE7XrhcN2fwXxjf2Jm9k1WZ6xSGkXRfkZgtJRneE4OQ8u8TclcZZL,Lee Konitz
DQE27BGg0dULNFJQigCeqWACR2j599Uk0HGlguHF1A45lAjn7Hum6mJAM8RhK2S2,H.H. Asquith
